Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
suboptimal,37,Filler,buy,shirt,shirt3.jpg,buy_shirt,buy_shirt_GAE.mp3,,,,,horse ,horse 2.jpg,bread,bread1.jpg,couch,couch4.jpg,GAE
intermediate,29,NeutralFiller,find ,picture,picture3.jpg,find _picture,find _picture_GAE.mp3,,,,,footprint,footprint2.jpg,cookies,cookies1.jpg,mittens,mittens3.jpg,GAE
intermediate,45,Filler,choose,santa,santa1.jpg,choose_santa,choose_santa_GAE.mp3,,,,,mail,mail3.jpg,whistle,whistle1.jpg,trophy,trophy4.jpg,GAE
optimal,24,NeutralFiller,buy ,piano,piano4.jpg,buy _piano,buy _piano_AAE.mp3,,,,,couch,couch1.jpg,tractor,tractor4.jpg,crayon,crayon4.jpg,AAE
suboptimal,13,Predictive,drive,car,car1.jpg,drive_car,drive_car_GAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag2.jpg,grapes,grapes2.jpg,dress,dress3.jpg,GAE
intermediate,10,Predictive,throw,football,football4.jpg,throw_football,throw_football_GAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle2.jpg,whistle,whistle2.jpg,costume,costume1.jpg,GAE
optimal,50,Filler,buy,truck,truck3.jpg,buy_truck,buy_truck_AAE.mp3,,,,,can,can3.jpg,milk,milk2.jpg,dog,dog3.jpg,AAE
optimal,5,Predictive,win,trophy,trophy1.jpg,win_trophy,win_trophy_AAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail2.jpg,santa,santa3.jpg,whisle,whisle1.jpg,AAE
intermediate,4,Predictive,drink ,milk,milk3.jpg,drink _milk,drink _milk_GAE.mp3,find_milk,find_milk.mp3,find_dress,find_dress.mp3,tractor,tractor1.jpg,ball,ball1.jpg,dress,dress2.jpg,GAE
intermediate,49,Filler,choose,grapes,grapes3.jpg,choose_grapes,choose_grapes_GAE.mp3,,,,,bag,bag4.jpg,car,car2.jpg,dress,dress1.jpg,GAE
