Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
intermediate,44,Filler,find,doll,doll4.jpg,find_doll,find_doll_GAE.mp3,,,,,jewel,jewel1.jpg,juice,juice2.jpg,tree,tree1.jpg,GAE
intermediate,17,Predictive,pet,cat,cat4.jpg,pet_cat,pet_cat_GAE.mp3,choose_cat,choose_cat.mp3,buy_plant,buy_plant.mp3,box,box2.jpg,plant,plant4.jpg,ball,ball1.jpg,GAE
suboptimal,29,NeutralFiller,find ,picture,picture3.jpg,find _picture,find _picture_GAE.mp3,,,,,footprint,footprint4.jpg,cookies,cookies3.jpg,mittens,mittens1.jpg,GAE
optimal,24,NeutralFiller,buy ,piano,piano4.jpg,buy _piano,buy _piano_AAE.mp3,,,,,couch,couch1.jpg,tractor,tractor4.jpg,crayon,crayon3.jpg,AAE
optimal,9,Predictive,eat,sandwich,sandwich2.jpg,eat_sandwich,eat_sandwich_AAE.mp3,buy_sandwich,buy_sandwich.mp3,choose_scissors,choose_scissors.mp3,bush,bush1.jpg,jewel,jewel4.jpg,scissors,scissors2.jpg,AAE
intermediate,22,NeutralFiller,find,milk,milk4.jpg,find_milk,find_milk_GAE.mp3,,,,,tractor,tractor1.jpg,ball,ball4.jpg,dress,dress1.jpg,GAE
intermediate,13,Predictive,drive,car,car3.jpg,drive_car,drive_car_GAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag3.jpg,grapes,grapes2.jpg,dress,dress4.jpg,GAE
optimal,18,NeutralFiller,choose,horn,horn3.jpg,choose_horn,choose_horn_AAE.mp3,,,,,brush,brush4.jpg,chair,chair1.jpg,bread,bread4.jpg,AAE
suboptimal,47,Filler,buy,whistle,whistle4.jpg,buy_whistle,buy_whistle_GAE.mp3,,,,,pickle,pickle2.jpg,footprint,footprint2.jpg,costume,costume3.jpg,GAE
suboptimal,44,Filler,find,doll,doll2.jpg,find_doll,find_doll_GAE.mp3,,,,,jewel,jewel2.jpg,juice,juice3.jpg,tree,tree3.jpg,GAE
