Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
optimal,8,Predictive,read,book,book3.jpg,read_book,read_book_GAE.mp3,choose_book,choose_book.mp3,choose_horse,choose_horse.mp3,santa,santa4.jpg,ring,ring1.jpg,horse,horse3.jpg,GAE
suboptimal,16,Predictive,kick,ball,ball1.jpg,kick_ball,kick_ball_AAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart4.jpg,cat,cat4.jpg,mail,mail4.jpg,AAE
intermediate,1,Predictive,toast,bread,bread2.jpg,toast_bread,toast_bread_AAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 2.jpg,shirt,shirt2.jpg,couch,couch2.jpg,AAE
optimal,52,Filler,find,mail,mail2.jpg,find_mail,find_mail_GAE.mp3,,,,,cart,cart3.jpg,cat,cat1.jpg,ball,ball3.jpg,GAE
intermediate,6,Predictive,play,piano,piano4.jpg,play_piano,play_piano_AAE.mp3,buy_piano,buy_piano.mp3,buy_crayon,buy_crayon.mp3,couch,couch4.jpg,tractor,tractor1.jpg,crayon,crayon3.jpg,AAE
intermediate,3,Predictive,pour ,juice,juice4.jpg,pour _juice,pour _juice_AAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck4.jpg,book,book4.jpg,bell,bell4.jpg,AAE
suboptimal,2,Predictive,climb,tree,tree1.jpg,climb_tree,climb_tree_AAE.mp3,touch_tree,touch_tree.mp3,buy_shirt,buy_shirt.mp3,jewel,jewel1.jpg,doll,doll4.jpg,juice,juice1.jpg,AAE
suboptimal,4,Predictive,drink ,milk,milk4.jpg,drink _milk,drink _milk_AAE.mp3,find_milk,find_milk.mp3,find_dress,find_dress.mp3,tractor,tractor2.jpg,ball,ball2.jpg,dress,dress4.jpg,AAE
intermediate,44,Filler,find,doll,doll1.jpg,find_doll,find_doll_AAE.mp3,,,,,jewel,jewel3.jpg,juice,juice2.jpg,tree,tree4.jpg,AAE
optimal,46,Filler,choose,horse,horse1.jpg,choose_horse,choose_horse_GAE.mp3,,,,,santa,santa1.jpg,ring,ring2.jpg,book,book1.jpg,GAE
